minutes,pyaes-0-0.0.1,image_processing-0-0.0.1,dd-0-0.0.1
1104,5.644929339187202,7.8509596520029605,6.761974300246771
1105,9.924328592407427,4.122414327479961,4.162345390649427
1106,13.487755406485931,5.564134708816562,3.3133616036602036
1107,8.741103155912057,4.049747869397347,3.226966845877663
1108,10.594680056804783,8.662148815401006,5.510317572174652
1109,7.01470525492334,8.555193117675973,9.842494227401497
1110,12.301067740570685,9.091745872906033,7.917077368047369
1111,10.431820232533934,6.3178389725230355,7.2146737458851815
1112,10.458161934836076,14.185376385222561,8.782945114136377
1113,7.062725229015745,8.827245533367485,7.808386608563912
1114,7.8747413490971,6.427556733195321,8.860425391008125
1115,7.577524542916758,8.790068965857683,10.455882703293174
1116,11.739367788336954,9.503461518324485,10.685377558755036
1117,6.385361015021268,9.157317855505896,4.175297124573581
