,image_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
0,70.43169300000001,37.80444400000001,63.16516499999999
1,88.45545500000001,50.41418399999999,56.959938999999984
2,72.946888,42.70347299999999,79.58832099999998
3,61.658643,36.28569799999999,49.52410300000001
4,69.471666,40.33134200000001,61.248379
5,74.84958599999999,37.49135499999999,85.63605100000001
6,69.678704,33.378,71.028214
7,76.625719,23.88488,74.681774
8,56.424353999999994,36.49311000000001,70.06215
9,64.93946700000001,31.099985999999994,60.462556
10,56.491724000000026,37.44691500000001,51.688765999999994
