minutes,cnn_image_classification-0-0.0.1,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
1342,34.005137662019955,82.70767536393849,68.51545866241264,60.226588373785575
1343,32.54684290425184,84.98189917305905,71.62119186671646,48.2867314641759
1344,17.114671188966113,82.60226468088605,71.20120340460751,61.57175105838311
1345,35.19006572833534,83.44475779893999,35.260829966261525,56.696758165559956
1346,40.95093416374799,77.12618931218806,60.75642720514902,34.71712623108664
1347,39.89458701286278,81.70392362811432,58.404074820419595,13.236568262469023
1348,6.750020135190018,76.09452896686729,58.168793865102565,55.03151167596211
1349,21.42454037036233,73.79592548814911,38.92817117786367,38.80577348827616
1350,16.17725685661017,70.33421565649542,2.722891251398094,25.165575617311603
1351,26.39531489198127,80.14625620641856,16.382541879922982,24.00456405259713
1352,34.064562178965986,60.85789945636532,37.341435388780134,14.321184402822187
1353,19.622647577121512,75.98980708689498,30.378105360312535,54.632292030954154
1354,60.22472962998793,76.8216110965038,51.10803987980322,35.249973684905974
1355,60.60535548069218,62.955743406412715,54.59211958762017,51.659365759319385
1356,21.853079949040616,61.33696837870283,62.810415567175056,9.61185304523664
1357,80.03293127221997,74.1926219294252,21.16711724739237,5.395495792395398
1358,27.408229048379457,62.061830586987256,1.0354463567653964,39.75896893197832
1359,39.78434286602544,52.638056249574525,30.557827238069112,71.48455833791883
1360,58.19261898988373,66.08175141980998,45.29053880864999,13.932488580637559
1361,97.21904670777394,78.47461329934616,26.575659753245024,10.868714384514146
1362,83.09343196471754,66.44681286802478,22.241160441729868,5.213334490981757
1363,54.97041580703045,61.87111895915841,33.86263304879172,39.06159306428677
1364,53.971759515193455,65.8329707246317,12.03180421288508,135.21436184579974
1365,61.864132003646844,62.737748662617044,34.01838688465376,8.987449592968462
1366,65.35866442649895,53.433542320771345,12.724541357255879,74.3450127267477
1367,62.87582555310473,64.55093848197441,42.215516756079644,3.264710501419912
1368,49.0262642084021,38.65081541782417,49.295920133700974,66.88705766076168
1369,132.69615714279277,74.97982427831887,18.40227960133991,15.015627573603425
1370,99.56842341757381,45.24040047981427,0.6374647606533932,26.128344142532978
1371,67.30669583352963,41.59121675860348,2.8745029792481214,44.73585750932648
1372,252.83364483595568,13.031168325134157,646.3553275198972,261.97029717203384
