minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cp
1165,4.308121933333334,6.87172411666667,5.2297276833333335,2.135435199999999,0.0
1167,1.907781616666667,3.7968123,2.4083440666666673,1.2254342499999997,0.0
1168,1.9569129833333334,3.2123699166666664,2.8517366500000008,1.2032128999999998,0.0
1169,2.2972020166666662,3.414771450000001,2.729484616666667,1.3892134166666668,0.0
1170,1.4919984000000002,2.81098545,2.7909088166666667,1.0632436333333335,0.0
1171,1.820982583333333,4.3377701166666665,3.03234255,1.258973633333333,0.0
1172,2.1082228000000005,2.8454077166666663,2.4497930000000006,1.145225733333333,0.0
1173,2.308735316666666,4.8680496,2.2142396666666664,1.0259298666666672,0.0
1174,2.370207983333333,3.3299398333333334,3.2295332166666664,1.079377583333333,0.0
1175,2.468892,3.5600337166666667,2.9861508999999997,1.2155411333333332,0.0
1176,2.130694116666666,3.8107325999999997,2.556661583333333,1.24314835,0.0
1177,2.522199816666667,4.109139516666667,2.5357912499999995,1.0501795833333334,0.0
1178,2.20484645,3.1034819166666674,2.2975426333333333,0.877157866666667,0.0
